Energy [eV],W Capture [b]
1.00E-05,908.3026
1.06E-05,881.183
1.13E-05,856.356
1.19E-05,833.5158
1.25E-05,812.4108
1.38E-05,774.6036
1.50E-05,741.6266
1.63E-05,712.532
1.75E-05,686.6131
1.88E-05,663.3314
2.00E-05,642.268
2.19E-05,614.1259
2.38E-05,589.3859
2.56E-05,567.4136
2.75E-05,547.7287
2.94E-05,529.96
3.13E-05,513.8154
3.31E-05,499.0618
3.50E-05,485.5102
3.88E-05,461.4204
4.25E-05,440.5939
4.63E-05,422.3547
5.00E-05,406.208
5.31E-05,394.0798
5.63E-05,382.977
5.94E-05,372.7626
6.25E-05,363.3242
6.88E-05,346.4164
7.50E-05,331.6687
8.13E-05,318.6573
8.75E-05,307.0661
9.38E-05,296.6543
1.00E-04,287.2346
1.06E-04,278.6587
1.13E-04,270.8078
1.19E-04,263.5852
1.25E-04,256.9113
1.38E-04,244.9557
1.50E-04,234.5276
1.63E-04,225.3272
1.75E-04,217.1311
1.88E-04,209.7688
2.00E-04,203.1081
2.19E-04,194.2089
2.38E-04,186.3855
2.56E-04,179.4374
2.75E-04,173.2126
2.94E-04,167.5937
3.13E-04,162.4884
3.31E-04,157.8229
3.50E-04,153.5376
3.88E-04,145.9199
4.25E-04,139.3341
4.63E-04,133.5664
5.00E-04,128.4605
5.31E-04,124.6254
5.63E-04,121.1144
5.94E-04,117.8845
6.25E-04,114.8999
6.88E-04,109.5535
7.50E-04,104.8901
8.13E-04,100.7758
8.75E-04,97.11068
9.38E-04,93.81848
0.001,90.83999
0.001063,88.12836
0.001125,85.64597
0.001187,83.36224
0.00125,81.25201
0.001375,77.47177
0.0015,74.1745
0.001625,71.26539
0.00175,68.67384
0.001875,66.346
0.002,64.24001
0.0022,61.25173
0.0024,58.64548
0.002575,56.61897
0.00275,54.78928
0.002938,53.01343
0.003125,51.4
0.003312,49.9256
0.0035,48.57128
0.003875,46.16358
0.00425,44.08171
0.004625,42.25829
0.005,40.64409
0.00535,39.2935
0.0057,38.06951
0.00625,36.35833
0.006875,34.66889
0.0075,33.19506
0.00825,31.65229
0.00875,30.73592
0.009375,29.69544
0.01,28.75448
0.011,27.42008
0.012,26.25694
0.0125,25.72855
0.01375,24.53585
0.015,23.49486
0.01625,22.57593
0.0175,21.75714
0.019,20.88338
0.02,20.35642
0.022,19.41289
0.024,18.59046
0.0253,18.10927
0.02765,17.32774
0.03,16.64083
0.03175,16.17985
0.0335,15.75503
0.037,14.9964
0.03925,14.56368
0.0415,14.16741
0.046,13.46478
0.05,12.92106
0.0535,12.49575
0.057,12.11084
0.0625,11.57484
0.069,11.02463
0.0705,10.90836
0.072,10.79591
0.075,10.58174
0.0825,10.09872
0.0875,9.811944
0.09375,9.486659
0.1,9.19235
0.11,8.775324
0.12,8.412544
0.125,8.248595
0.1325,8.020127
0.14,7.808836
0.15,7.553722
0.1625,7.26921
0.175,7.016166
0.19,6.746201
0.2,6.584223
0.22,6.29498
0.24,6.041594
0.2575,5.846347
0.275,5.671699
0.3,5.448479
0.325,5.252507
0.35,5.079185
0.37,4.953949
0.3975,4.799917
0.425,4.660206
0.46,4.501641
0.5,4.34445
0.5625,4.135435
0.57,4.11244
0.5975,4.033818
0.625,3.961908
0.6875,3.81588
0.69,3.810394
0.6975,3.794259
0.705,3.77859
0.72,3.748427
0.75,3.691788
0.8125,3.585266
0.825,3.565665
0.875,3.493954
1,3.345357
1.2,3.178196
1.25,3.14782
1.375,3.087436
1.5,3.046869
1.75,3.020211
1.9,3.03785
2,3.065524
2.2,3.167179
2.4,3.320509
2.55,3.502083
2.7,3.756869
2.85,4.110587
2.925,4.342522
3,4.619986
3.075091,4.9606
3.150182,5.383483
3.225273,5.913547
3.300363,6.589391
3.375454,7.469188
3.412999,8.011484
3.450544,8.636475
3.48809,9.363029
3.525635,10.22986
3.56318,11.26894
3.600725,12.52273
3.625544,13.50085
3.650363,14.62752
3.675182,15.93445
3.7,17.46171
3.727144,19.44615
3.754288,21.84793
3.781432,24.79234
3.808575,28.45267
3.835719,33.0864
3.849291,35.88685
3.862863,39.09751
3.876435,42.80466
3.890007,47.11727
3.903579,52.17572
3.91715,58.16407
3.934115,67.34277
3.942598,72.82927
3.95108,79.06116
3.959563,86.18655
3.968045,94.39026
3.976528,103.9151
3.98501,115.0743
3.995189,131.2269
4.005368,151.3668
4.010458,163.3752
4.015547,176.9866
4.020637,192.5068
4.025726,210.2954
4.030816,230.8025
4.035905,254.5539
4.040995,282.1954
4.046084,314.4652
4.051174,352.2427
4.056263,396.4938
4.061352,448.3053
4.066441,508.8253
4.071107,572.9649
4.075772,646.2509
4.080438,729.4758
4.085103,823.1902
4.089769,927.7609
4.094434,1.04E+03
4.099099,1.17E+03
4.103764,1.30E+03
4.113005,1.59E+03
4.122245,1.89E+03
4.131485,2.17E+03
4.140725,2.41E+03
4.150363,2.57E+03
4.155182,2.61E+03
4.16,2.63E+03
4.163213,2.62E+03
4.168012,2.58E+03
4.172811,2.52E+03
4.182409,2.32E+03
4.192007,2.05E+03
4.201605,1.74E+03
4.213534,1.36E+03
4.219498,1.19E+03
4.225462,1.03E+03
4.231426,885.3163
4.23739,759.408
4.243354,650.6111
4.249318,557.8481
4.25409,494.1443
4.258861,438.8279
4.263633,390.9422
4.268404,349.5915
4.273176,313.8942
4.277947,283.0732
4.282718,256.4121
4.287489,233.2889
4.292261,213.1619
4.297032,195.5804
4.301803,180.1514
4.306574,166.5486
4.316117,143.7729
4.325659,125.5753
4.334407,111.9048
